time,P
0.000000e+00,1.000000e+00
5.000000e-02,9.512293e-01
1.000000e-01,9.048343e-01
1.500000e-01,8.607045e-01
2.000000e-01,8.187277e-01
2.500000e-01,7.787987e-01
3.000000e-01,7.408174e-01
3.500000e-01,7.046876e-01
4.000000e-01,6.703194e-01
4.500000e-01,6.376274e-01
5.000000e-01,6.065300e-01
5.500000e-01,5.769491e-01
6.000000e-01,5.488109e-01
6.500000e-01,5.220449e-01
7.000000e-01,4.965844e-01
7.500000e-01,4.723656e-01
8.000000e-01,4.493281e-01
8.500000e-01,4.274142e-01
9.000000e-01,4.065689e-01
9.500000e-01,3.867404e-01
1.000000e+00,3.678788e-01
1.050000e+00,3.499371e-01
1.100000e+00,3.328704e-01
1.150000e+00,3.166361e-01
1.200000e+00,3.011935e-01
1.250000e+00,2.865041e-01
1.300000e+00,2.725311e-01
1.350000e+00,2.592395e-01
1.400000e+00,2.465964e-01
1.450000e+00,2.345698e-01
1.500000e+00,2.231298e-01
1.550000e+00,2.122478e-01
1.600000e+00,2.018964e-01
1.650000e+00,1.920498e-01
1.700000e+00,1.826835e-01
1.750000e+00,1.737739e-01
1.800000e+00,1.652989e-01
1.850000e+00,1.572372e-01
1.900000e+00,1.495686e-01
1.950000e+00,1.422741e-01
2.000000e+00,1.353354e-01
2.050000e+00,1.287350e-01
2.100000e+00,1.224566e-01
2.150000e+00,1.164843e-01
2.200000e+00,1.108034e-01
2.250000e+00,1.053994e-01
2.300000e+00,1.002591e-01
2.350000e+00,9.536939e-02
2.400000e+00,9.071819e-02
2.450000e+00,8.629382e-02
2.500000e+00,8.208524e-02
2.550000e+00,7.808191e-02
2.600000e+00,7.427383e-02
2.650000e+00,7.065147e-02
2.700000e+00,6.720578e-02
2.750000e+00,6.392813e-02
2.800000e+00,6.081033e-02
2.850000e+00,5.784459e-02
2.900000e+00,5.502348e-02
2.950000e+00,5.233997e-02
3.000000e+00,4.978733e-02
3.050000e+00,4.735918e-02
3.100000e+00,4.504946e-02
3.150000e+00,4.285238e-02
3.200000e+00,4.076245e-02
3.250000e+00,3.877445e-02
3.300000e+00,3.688341e-02
3.350000e+00,3.508459e-02
3.400000e+00,3.337350e-02
3.450000e+00,3.174587e-02
3.500000e+00,3.019761e-02
3.550000e+00,2.872486e-02
3.600000e+00,2.732394e-02
3.650000e+00,2.599134e-02
3.700000e+00,2.472373e-02
3.750000e+00,2.351795e-02
3.800000e+00,2.237097e-02
3.850000e+00,2.127993e-02
3.900000e+00,2.024210e-02
3.950000e+00,1.925488e-02
4.000000e+00,1.831582e-02
4.050000e+00,1.742255e-02
4.100000e+00,1.657284e-02
4.150000e+00,1.576458e-02
4.200000e+00,1.499573e-02
4.250000e+00,1.426439e-02
4.300000e+00,1.356871e-02
4.350000e+00,1.290696e-02
4.400000e+00,1.227748e-02
4.450000e+00,1.167870e-02
4.500000e+00,1.110913e-02
4.550000e+00,1.056733e-02
4.600000e+00,1.005196e-02
4.650000e+00,9.561721e-03
4.700000e+00,9.095393e-03
4.750000e+00,8.651806e-03
4.800000e+00,8.229855e-03
4.850000e+00,7.828482e-03
4.900000e+00,7.446684e-03
4.950000e+00,7.083507e-03
5.000000e+00,6.738041e-03
